treat,vs_12_update,vg_12_update,yearssincereg,hhinc,age,female,asian,black,latino,mideastern,nativeamer,d_miss_age,d_miss_hhinc,d_miss_gender,d_miss_race
1,1,1,4.2765231,64,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,2.1656399,71,-999,1,0,0,1,0,0,1,0,0,0
0,0,1,3.6550307,45,89,1,0,0,0,0,0,0,0,0,0
0,0,0,5.577002,44,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.4880219,38,41,1,0,0,0,0,0,0,0,0,0
1,0,1,3.5838466,53,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,11.575633,46,67,1,0,0,0,0,0,0,0,0,0
0,0,0,3.1622176,41,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,7.5893226,48,43,1,0,0,0,0,0,0,0,0,0
0,1,1,3.5838466,66,50,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5838466,71,51,1,0,0,0,0,0,0,0,0,0
0,1,0,1.1690623,48,28,1,0,0,0,0,0,0,0,0,0
0,0,1,5.577002,56,39,1,0,0,1,0,0,0,0,0,0
1,0,0,3.5838466,29,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,5.577002,52,51,1,0,0,0,0,0,0,0,0,0
1,0,1,3.6605065,71,38,0,0,0,1,0,0,0,0,0,0
0,1,1,3.5099247,64,35,1,0,0,1,0,0,0,0,0,0
0,1,1,3.5838466,43,36,1,0,0,0,0,0,0,0,0,0
0,1,1,3.4880219,61,29,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,43,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,3.4825461,61,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,3.5838466,66,35,1,1,0,0,0,0,0,0,0,0
1,0,1,3.5947981,58,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,1.1690623,52,46,1,0,0,0,0,0,0,0,0,0
0,0,1,4.2929502,76,72,1,0,1,0,0,0,0,0,0,0
1,0,0,5.7303219,37,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5947981,66,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,3.5017111,46,19,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,86,32,1,0,0,0,0,0,0,0,0,0
1,0,1,3.559206,59,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5564682,54,57,1,0,0,0,0,0,0,0,0,0
1,0,0,3.4880219,55,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5838466,38,-999,1,0,0,1,0,0,1,0,0,0
1,0,0,3.2963724,66,73,1,0,0,0,0,0,0,0,0,0
