anysecrecytreatment,v_cong_general_10,v_pres_primary_12,v_cong_primary_12,v_pres_general_12,turnoutindex_12,badaddress,town1_block,town2_block,town3_block,town4_block,town5_block,town6_block,i_grp_addr_1,i_grp_addr_2,i_grp_addr_3,i_grp_addr_4,dem,rep,female,male,age_md,age_sq_md,sosplacebotreatments
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26.708067,24.600853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,41.708065,46.350853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9.708066,5.3908529,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,.70806623,-2.4391479,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-.29193377,-3.2091484,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.7080662,-.83914852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,24.708067,22.040852,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18.708067,14.840854,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,13.708066,9.3908529,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.7080665,.84085178,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42.708065,47.960854,1
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2.7080662,-.83914852,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-3.2919338,-5.399148,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,45.708065,52.910851,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.7080662,-.0091485744,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41.708065,46.350853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-4.2919335,-6.0891476,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,42.708065,47.960854,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,38.708065,41.640854,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24.708067,22.040852,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-6.2919335,-7.4091482,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.7080662,-.0091485744,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,46.708065,54.600853,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,27.708067,25.910854,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.708065,46.350853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,42.708065,47.960854,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42.708065,47.960854,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.7080665,3.5108519,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11.708066,7.350852,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4.7080665,.84085178,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,25.708067,23.310852,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-5.2919335,-6.7591476,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1.7080662,-1.649148,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-5.2919335,-6.7591476,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.7080665,1.7108526,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,24.708067,22.040852,0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-2.2919338,-4.6891479,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,28.708067,27.240852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,35.708065,37.110851,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,40.708065,44.760853,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,20.708067,17.160854,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,40.708065,44.760853,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,23.708067,20.790852,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,34.708065,35.640854,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.708066,4.4408522,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5.7080665,1.7108526,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,33.708065,34.190853,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.7080662,-1.649148,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,16.708067,12.600852,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.7080665,.84085178,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.2919338,-4.6891479,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,28.708067,27.240852,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24.708067,22.040852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5.7080665,1.7108526,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11.708066,7.350852,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.29193377,-3.2091484,1
