"treat","vs_12_update","vg_12_update","yearssincereg","post08reg","age_corrected","d_miss_age","hhinc_corrected","d_miss_hhinc","female","d_miss_gender","asian","black","latino","mideastern","nativeamer","d_miss_race","township_id","milwaukee"
1,1,1,0.17248460650444,1,37,0,60,0,0,0,0,0,1,0,0,0,817,0
1,0,0,4.31211519241333,0,65,0,72,0,1,0,0,0,0,0,0,0,872,0
1,0,0,3.58384656906128,1,35,0,51,0,0,0,0,0,1,0,0,0,152,0
1,0,0,4.038330078125,0,0,1,40,0,1,0,0,1,0,0,0,0,87,1
0,1,1,3.84120464324951,0,48,0,14,0,0,0,0,0,1,0,0,0,87,1
0,0,0,3.9644079208374,0,0,1,21,0,0,1,0,1,0,0,0,0,87,1
0,1,1,0.511978089809418,1,59,0,58,0,1,0,0,0,0,0,0,0,87,1
0,0,1,4.07665967941284,0,0,1,31,0,1,0,0,1,0,0,0,0,87,1
1,0,0,4.09582471847534,0,65,0,25,0,0,0,0,1,0,0,0,0,87,1
0,0,0,3.9452428817749,0,27,0,26,0,1,0,0,1,0,0,0,0,87,1
0,0,0,3.91238880157471,0,73,0,25,0,1,0,0,1,0,0,0,0,87,1
0,1,1,4.0191650390625,0,0,1,23,0,1,0,0,1,0,0,0,0,87,1
1,0,0,4.23271751403809,0,76,0,30,0,0,0,0,1,0,0,0,0,87,1
1,0,0,3.98904848098755,0,21,0,36,0,0,0,0,1,0,0,0,0,87,1
0,0,0,4.23271751403809,0,45,0,56,0,1,0,0,0,0,0,0,0,87,1
1,0,0,3.65776872634888,0,0,1,12,0,1,0,0,1,0,0,0,0,87,1
1,1,1,0.34223136305809,1,0,1,35,0,1,0,0,0,0,0,0,0,87,1
1,0,0,3.66872000694275,0,67,0,38,0,1,0,0,0,0,0,0,0,87,1
1,0,1,3.89869952201843,0,0,1,33,0,0,1,0,0,1,0,0,0,136,0
1,0,0,2.87200546264648,1,50,0,36,0,0,0,0,0,1,0,0,0,87,1
1,0,0,3.72621488571167,0,0,1,31,0,1,0,0,0,0,0,0,0,87,1
0,1,1,0.17248460650444,1,0,1,39,0,1,0,0,0,0,0,0,0,87,1
0,0,0,4.23271751403809,0,0,1,38,0,1,0,0,0,0,0,0,0,87,1
0,1,0,3.69062280654907,0,42,0,14,0,1,0,0,1,0,0,0,0,87,1
1,1,1,0.150581791996956,1,0,1,40,0,1,0,0,0,0,0,0,0,87,1
1,0,0,4.23271751403809,0,70,0,37,0,1,0,0,1,0,0,0,0,87,1
1,0,0,0.188911706209183,1,65,0,38,0,1,0,0,0,0,0,0,0,87,1
0,0,1,4.09308671951294,0,51,0,29,0,1,0,0,0,0,0,0,0,87,1
0,0,1,3.6605064868927,0,54,0,33,0,1,0,0,0,1,0,0,0,87,1
1,1,1,1.18822729587555,1,66,0,33,0,0,0,0,1,0,0,0,0,87,1
1,0,0,3.84668040275574,0,60,0,43,0,1,0,0,0,0,0,0,0,87,1
0,0,1,0.191649556159973,1,66,0,38,0,1,0,0,0,0,0,0,0,87,1
0,0,0,4.23819303512573,0,0,1,65,0,1,0,0,0,0,0,0,0,157,0
1,1,1,4.00547552108765,0,0,1,40,0,1,0,0,0,0,0,0,0,87,1
0,0,0,0.555783689022064,1,0,1,48,0,1,0,0,0,1,0,0,0,700,0
1,0,1,3.72347712516785,0,46,0,39,0,1,0,0,1,0,0,0,0,87,1
0,1,0,3.7125256061554,0,46,0,57,0,1,0,0,0,0,0,0,0,87,1
1,1,1,4.23271751403809,0,0,1,17,0,1,0,0,1,0,0,0,0,87,1
1,0,0,3.96167016029358,0,55,0,37,0,1,0,0,0,1,0,0,0,87,1
1,1,1,0.22724162042141,1,49,0,55,0,1,0,0,0,0,0,0,0,158,0
1,0,1,0.347707062959671,1,73,0,36,0,1,0,0,0,1,0,0,0,796,0
1,0,0,3.71800136566162,0,92,0,22,0,1,0,0,0,0,0,0,0,122,0
1,0,0,0.265571534633636,1,56,0,50,0,1,0,0,0,0,0,0,0,122,0
1,1,0,3.77823400497437,0,25,0,44,0,1,0,0,0,1,0,0,0,122,0
