hsid			seniors	lowgradelevel													algebra3	math4	precalculus	calculus	probability	trigonometry	analytical	solidgeo								
257902	4	1100	275	9	12	4	9.09	59.09	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	4	0	NA	4
257910	2	510	42.5	1	12	12	7.25	2.35	4	1	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	0	0	0	1	3	1	3	0	NA	3
258913	2	2000	500	9	12	4	11	25	12	1	6	6	4	6	2	8	1	1	1	1	1	1	0	1	0	1	4	1	4	1	4	4
259916	4	317	79.25	9	12	4	3	47	12	1	3	3	2	3	1	4	0	0	0	0	0	0	0	0	0	0	NA	1	2	0	NA	2
259918	4	300	25	1	12	12	20	80	4	1	3	3	2	3	0	4	0	0	0	0	0	1	0	0	0	0	NA	1	2	0	NA	2
261928	4	1022	255.5	9	12	4	2.05	29.35	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	3	1	3	0	NA	3
262931	3	1482	370.5	9	12	4	6.07	0.5	4	1	3	3	2	4	1	4	0	1	1	1	1	1	0	0	0	1	4	1	4	1	4	4
264946	3	1528	382	9	12	4	12.7	15.12	28	1	4	3	2	3	0	4	0	1	1	1	0	0	0	0	0	1	3	1	3	1	3	3
264947	3	2100	525	9	12	4	5	25	18	1	4	4	2	3	0	5	0	1	1	0	1	1	0	0	0	1	2	1	2	1	2	2
266957	4	630	157.5	9	12	4	0.48	67	2	1	3	3	2	3	1	4	0	0	1	1	1	0	0	0	0	0	NA	1	2	0	NA	2
267958	1	203	25.375	5	12	8	37.44	100	NA	1	3	3	2	3	0	4	0	0	0	0	0	0	0	0	0	0	NA	1	2	0	NA	2

